tag,n,trolls,p,lam,regimen,loc,fracTrolls,mean_rho_W,mean_rho_LW,mean_rangoFinal,mean_stdFinal,mean_convTime,mean_P_norm_vs_trolls,mean_propNegNormals,mean_medianFinalNormals,mean_resid_fp,mean_medianFinal,mean_meanFinal,std_convTime,std_rangoFinal,std_stdFinal,prop_stochastic,prop_substochastic,prop_isStrongLW,mean_nSCC_W,mean_nSCC_LW,mean_periodW,mean_periodLW,prop_isStrongW,prop_isPrimLW,mean_nSCC_W_over_n,mean_nSCC_LW_over_n,mean_rho_emp_W,mean_NDI,mean_P2,mean_P4,prop_consenso,mean_k_needed
n300_trolls90_desconectada_bajoPR_lam0.20,300,90,0.009506304124427,0.2,desconectada,bajoPR,0.3,,0.18963088605541,1.92674814940934,0.72085750825986,7,0.700139247837133,0.00314285714285714,0.518105937155562,4.67552910577151e-07,0.409286818889238,0.0654276875030021,0,0.0181697660175046,0.00432473632034383,1,1,0,20.74,96.52,NaN,NaN,0,0,0.0691333333333333,0.321733333333333,1,220.730268644041,0.522243024287421,199.685426517899,0,8
n300_trolls90_desconectada_medioPR_lam0.20,300,90,0.009506304124427,0.2,desconectada,medioPR,0.3,,0.161958122205522,1.90238171036076,0.692213547937117,7.1,0.451018698257513,0.0257142857142857,0.463568456486217,6.2324732750807e-07,0.326507333624759,0.0160573073168384,0.303045763365663,0.0246174853326301,0.00453627650450524,1,1,0,20.74,158.18,NaN,NaN,0,0,0.0691333333333333,0.527266666666667,1,257.010628656217,0.477888468322158,185.424051029427,0,7.64
n300_trolls90_desconectada_altoPR_lam0.20,300,90,0.009506304124427,0.2,desconectada,altoPR,0.3,,0.108074155137844,1.87779544525729,0.67221838312073,6.94,0.33517008595656,0.0433333333333333,0.412684263596311,2.50194712541896e-07,0.271242088295163,-0.0168759329530466,0.239897937482095,0.026661963023701,0.00513175676571548,1,1,0,20.74,200.98,NaN,NaN,0,0,0.0691333333333333,0.669933333333333,1,229.876412384366,0.450743904572522,176.302409571892,0,6.12
n300_trolls90_desconectada_bajoPR_lam0.35,300,90,0.009506304124427,0.35,desconectada,bajoPR,0.3,,0.331854050596968,1.87819035417027,0.703006211883372,10.8,0.700139247837133,0.00819047619047619,0.50008161888142,5.10337884331302e-07,0.38646481132211,0.0434781490724864,0.404061017820884,0.0256810580204957,0.00535854559463823,1,1,0,20.74,96.52,NaN,NaN,0,0,0.0691333333333333,0.321733333333333,1,203.783008444079,0.494553700928256,193.298519653099,0,12.38
n300_trolls90_desconectada_medioPR_lam0.35,300,90,0.009506304124427,0.35,desconectada,medioPR,0.3,,0.283426713859663,1.83765427158725,0.651153040559616,10.94,0.451018698257513,0.0747619047619048,0.373360879096791,4.52067363110875e-07,0.226362737086838,-0.0504505371633121,0.313635691430002,0.0329990624030084,0.00533799210055523,1,1,0,20.74,158.18,NaN,NaN,0,0,0.0691333333333333,0.527266666666667,1,215.968115004779,0.425226230636645,167.879045569968,0,11.14
n300_trolls90_desconectada_altoPR_lam0.35,300,90,0.009506304124427,0.35,desconectada,altoPR,0.3,,0.189129771491228,1.78085994194504,0.610973766450776,9.16,0.33517008595656,0.148476190476191,0.265462696032514,5.20593741505371e-07,0.132556935497474,-0.115857160536019,0.370328039909021,0.0397047878523749,0.00699886071333869,1,1,0,20.74,200.98,NaN,NaN,0,0,0.0691333333333333,0.669933333333333,1,175.567105017026,0.38561925833843,151.699304000991,0,8.64
n300_trolls90_desconectada_bajoPR_lam0.50,300,90,0.009506304124427,0.5,desconectada,bajoPR,0.3,,0.474077215138526,1.817271998205,0.682253498829666,16.04,0.700139247837133,0.021047619047619,0.466480609088834,6.93554403734531e-07,0.354488268655083,0.0126789569533666,0.197948663722157,0.0299968224495235,0.00703472752267954,1,1,0,20.74,96.52,NaN,NaN,0,0,0.0691333333333333,0.321733333333333,1,186.77212662165,0.464249702245958,184.688967011941,0,18.66
n300_trolls90_desconectada_medioPR_lam0.50,300,90,0.009506304124427,0.5,desconectada,medioPR,0.3,,0.404895305513805,1.75022682071577,0.601550859253068,15.32,0.451018698257513,0.175619047619048,0.250018185440273,7.03900301691762e-07,0.102305383050662,-0.137290255092632,0.586932530976404,0.0414789309448,0.00723897008080893,1,1,0,20.74,158.18,NaN,NaN,0,0,0.0691333333333333,0.527266666666667,1,174.260708425789,0.379669308971433,149.981744697006,0,15.76
n300_trolls90_desconectada_altoPR_lam0.50,300,90,0.009506304124427,0.5,desconectada,altoPR,0.3,,0.27018538784461,1.63579314336818,0.536310376226898,11.98,0.33517008595656,0.363809523809524,0.0981486049353155,5.21536622198338e-07,-0.0541705754752127,-0.239455926879517,0.473372615022311,0.0556114066163479,0.00902267252970265,1,1,0,20.74,200.98,NaN,NaN,0,0,0.0691333333333333,0.669933333333333,1,124.686036952488,0.344249024463933,133.538568828214,0,11
n300_trolls90_desconectada_bajoPR_lam0.65,300,90,0.009506304124427,0.65,desconectada,bajoPR,0.3,,0.616300379680084,1.72817383944374,0.652720620779433,25.8,0.700139247837133,0.0492380952380952,0.411098841174229,7.32760772000907e-07,0.301400453779719,-0.0360406142004617,0.571428571428572,0.0385190341472425,0.0102220041861389,1,1,0,20.74,96.52,NaN,NaN,0,0,0.0691333333333333,0.321733333333333,1,166.628606876624,0.426298108560325,171.959291895665,0,29.14
